"barcode","serial_no","manufacturer","value","model","categoryname","statusname","sitename","userfirstname","userlastname","usernickname","locationname",
"AA0001","37J122201102","Zebra","280.00","TLP2824 Plus","Printers","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0002","","Canon","250.00","MX895","Printers","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0003","108LTFP06131","LG","70.00","FLATRON E1951S-BN","Tablets","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0004","902NDWE8R073","LG","70.00","FLATRON W2242S-SF","Monitor","OK","Head Office - UK","Nathan","Rafferty","Nathan","Head Office - Admin Office",
"AA0005","902NDWE8R193","LG","70.00","FLATRON W2242S-SF","Monitor","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0006","CND6250PLD","HP","70.00","L1906","Monitor","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0007","CCQ17040BTZ","CISCO","80.00","SPA502G","Telephones","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0008","PSVC1E301612801FB79600","ACER","350.00","VERITON M288","Desktop PC","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0009","CCQ17040BTF","CISCO","80.00","SPA502G","Telephones","OK","Head Office - UK","Nathan","Rafferty","Nathan","Head Office - Admin Office",
"AA0010","93490-2059347","DYMO","70.00","LabelWriter 400","Printers","OK","Head Office - UK","Nathan","Rafferty","Nathan","Head Office - Admin Office",
"AA0011","YL4Q399872","FUJITSU","350.00","ESPRIMO P2560","Desktop PC","OK","Head Office - UK","Nathan","Rafferty","Nathan","Head Office - Admin Office",
"AA0012","","Kettle","60.00","Boiler","Furniture","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0014","","CISCO","230.00","SF200-24P","Network Equipment","OK","Head Office - UK","","","","",
"AA0015","103001689965","DrayTek","300.00","VIGOR2820n","Wireless Equipment","OK","Head Office - UK","","","","",
"AA0016","","CISCO","80.00","SPA502G","Telephones","OK","Head Office - UK","John","Platt","John","Head Office - Admin Office",
"AA0017","","CISCO","80.00","SPA502G","Telephones","OK","Head Office - UK","Joe","Makepeace","Joe","Head Office - Admin Office",
"AA0018","DNWHLFMGDTC0","Apple","329.50","iPhone Md235B/A","Telephones","OK","Head Office - UK","Joe","Makepeace","Joe","Seat Leon - FP09 WBV",
"AA0019","8C392414R","TOSHIBA","320.00","Satellite Pro","Laptops","OK","Head Office - UK","Joe","Makepeace","Joe","Seat Leon - FP09 WBV",
"AA0020","DMQJXAK1DFHW","Apple","280.00","iPad A1395","Tablets","OK","Head Office - UK","Joe","Makepeace","Joe","Seat Leon - FP09 WBV",
"AA0021","","ACER","250.00","Veriton X270","Desktop PC","OK","Head Office - UK","John","Platt","John","Head Office - Admin Office",
"AA0022","P3MND7ZMFS933003F63000","ACER","250.00","Veriton X270","Desktop PC","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0023","YBAF006331","FUJITSU SIEMENS","500.00","PRIMERGY ECONEL 50","Desktop PC","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0024","","HP","170.00","Laserjet 3050","Printers","OK","Head Office - UK","","","","Head Office - Admin Office",
"AA0025","","Iiyama","0.00","PLE481S-S0S","Monitor","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0026","","Netgear","0.00","GS108","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0027","","Netgear","0.00","JGS24","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0028","","Netgear","0.00","WFS709TP","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0029","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0030","","Apple","0.00","iBook G4 A1055","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0031","","ASUS","0.00","Z91E","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0032","","Edimax","0.00","ES-3124RL","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0033","","CISCO","0.00","Catalyst 3560","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0034","","CISCO","0.00","Catalyst 1900","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0035","","D-Link","0.00","DFE-2624","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0036","","DrayTek","0.00","VigorPro 5510","Network Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0037","","APC","0.00","Smart-UPS 750","Safety Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0038","","MGE","0.00","Evolution 850","Safety Equipment","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0039","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0040","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0041","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0042","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0043","","Benq","0.00","PB6100","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0044","","NEC","0.00","VT560","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0045","","NEC","0.00","VT560","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0046","","NEC","0.00","VT560","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0047","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0048","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0049","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0050","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0051","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0052","","Sahara","0.00","AV-2107","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0053","","HP","0.00","RC1-3483","Printers","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0054","","HP","0.00","RC1-3483","Printers","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0055","","HP","0.00","LaserJet L2015dn","Printers","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0056","","HP","0.00","LaserJet P2015","Printers","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0057","","HP","0.00","RM1-1294-000CN","Printers","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0058","","Apple","0.00","iBook G4 A1054","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0059","","Apple","0.00","iBook G4 A1055","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0060","","Apple","0.00","iBook G4 A1055","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0061","","Apple","0.00","iBook G4 A1055","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0062","","Apple","0.00","iBook G4 A1055","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0065","","Apple","0.00","MacBook","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0066","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0067","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0068","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0069","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0070","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0071","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0072","","ACER","0.00","MS2231","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0073","","ASUS","0.00","Z91E","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0074","","ASUS","0.00","Z91E","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0075","","TOSHIBA","0.00","PAP702E A","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0076","","HP","0.00","Compaq nx9020","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0077","","Ergo","0.00","Mercury 700A","Laptops","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0078","","TOSHIBA","0.00","TLP-X2000EDU","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"AA0079","","Sahara","0.00","AV-3618","TV & Video","OK","Head Office - UK","","","","Head Office - Training Room",
"IWA00565","a2l034050929","ViewSonic","0.00","VE175b","Monitor","OK","Storage Unit - Preston","","","","",
