test,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcode,serial,category,faculty,location,location_barcode,user,make,model,item_status,purchase_value,current_value,notes,purchase_date,warranty_date,replacement_date,pat_status,pat_date,,,,,,,,,,
spc1001,,6 Monthly Portable Electrical Equip G&M,,,,339,Homemaker,MG 14BC,OK,36,,,19-05-14,18-05-15,,PASS,01-10-14,,,,,,,,,,
tba,,Yard assets,,,,339,Aqua Cooler,Drink Fountain,OK,1765,,,02-06-14,,,N/A,,,,,,,,,,,
tba1,,Yard assets,,,,,Aqua Cooler,Drink Fountain,OK,1765,,,02-06-14,,,N/A,,,,,,,,,,,
tba2,,Yard assets,,,,339,Aqua Cooler,Drink Fountain,OK,1765,,,02-06-14,,,N/A,,,,,,,,,,,
SPC1002,,FURN&EQ,Administration Building,Admin Foyer,SPC9000,792,Chair,Red Velvet Podi Lounge Chairs,OK,757,,,18-07-08,,,,,,,,,,,,,,
SPC1003,,FURN&EQ,Administration Building,Admin Foyer,SPC9000,792,Coffee Table,Beech Veneer top 1200 x 600 x 430,OK,297,,,23-07-08,,,,,,,,,,,,,,
SPC1004,SFGL1447S07U,BUILDINGS,Administration Building,Admin Office,SPC9001,792,Admin/Staff Facilities Bldg 08,Building,OK,3895.27,,,15-06-05,,15-06-08,,,,,,,,,,,,
SPC1005,SFGL1448S410,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Chair,SWIFT Typist Chair,OK,139,,,11-02-13,,11-02-16,,,,,,,,,,,,
SPC1006,SFGL1448S419,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Chair,Brado Hi-back Ergo,OK,339,,,01-12-11,,01-12-14,,,,,,,,,,,,
SPC1007,SFGL1448S418,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Cross Celtic,Stainless Steel,OK,3500,,,09-12-08,,09-12-11,,,,,,,,,,,,
SPC1008,SFGL1448S415,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Maze Purchase Requisition Comp,Software,OK,1871.48,,,01-11-10,,01-11-13,,,,,,,,,,,,
SPC1009,SFGL1448S41B,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Roller Shades,Verosol ambience Dark Grey & silverscreen Bei,OK,185.45,,,02-09-08,,02-09-11,,,,,,,,,,,,
SPC1010,SFGL1446S3AL,FURN&EQ,Administration Building,Admin Office,SPC9001,792,Wireless Access Points,Wireless Access Points,OK,731.63,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1011,,FURN&EQ,Administration Building,Admin Reception,SPC9002,792,Chair,Profile gas lift high,OK,130,,,01-09-08,,,,,,,,,,,,,,
SPC1012,,FURN&EQ,Administration Building,Admin Reception,SPC9002,792,Chair,Visitor x 30 Living Sea Urchin upholstery,OK,266.67,,,01-09-08,,,,,,,,,,,,,,
SPC1013,,FURN&EQ,Administration Building,Admin Reception,SPC9002,792,Postage Meter,Autofeeder,OK,1500,,,02-04-08,,,,,,,,,,,,,,
SPC1014,,FURN&EQ,Administration Building,Admin Reception,SPC9002,792,Postage Meter,& Base,OK,4200,,,31-03-08,,,,,,,,,,,,,,
SPC1015,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,,,,,,,,,,,,,
SPC1016,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,,,,,,,,,,,,,
SPC1017,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,,,,,,,,,,,,,
SPC1018,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Mobile Pedestal,2D/1F lockable,OK,355,,,16-03-10,,16-03-20,,,,,,,,,,,,
SPC1019,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Desk,1800x900x720mm,OK,187.5,,,01-09-08,,,,,,,,,,,,,,
SPC1020,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Compactus,3.6mm & 450mm deep,OK,3698,,,01-09-08,,,,,,,,,,,,,,
SPC1021,,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Compactus,5mm & 450mm deep,OK,685.33,,,01-09-08,,,,,,,,,,,,,,
SPC1022,"9803, 0526, 0526",FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1023,SFGL1446S02A,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1024,SFGL1446S058,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1025,SFGL1446S04U,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Desk,1800 x 900 Red cherry & Ironstone,OK,282.5,,,05-05-09,,05-05-12,,,,,,,,,,,,
SPC1026,SFGL1446S03Z,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Mobile Pedestal,Red Cherry & Ironstone 2dr,OK,267.5,,,05-05-09,,05-05-12,,,,,,,,,,,,
SPC1027,SFGL1446S05C,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Safe Mini Banker,Size 7 Digital Lock,OK,3267.36,,,10-07-08,,10-07-11,,,,,,,,,,,,
SPC1028,SFGL1448S40Z,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1029,SFGL1448S41V,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Mobile Pedestal,OE120 2 File,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1030,SFGL1448S417,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Open Bookcase,OE110,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1031,SFGL1448S41E,FURN&EQ,Administration Building,Admin Store Rm,SPC9003,792,Open Desk,OE100,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1032,SFGL1448S411,FURN&EQ,Administration Building,Admin WHS,SPC9004,792,Mobile Pedestal,OE120 2 File,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1033,SFGL1448S41J,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Open Bookcase,OE110,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1034,SFGL1448S41C,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Open Desk,OE100,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1035,SFGL1448S416,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Universal Return,OE103,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1036,SFGL1448S413,FURN&EQ,Administration Building,Meeting Rooms 1&2,SPC9010,348,Bar Fridge,100L GVAF100,OK,199.09,,,07-07-08,,07-07-11,,,,,,,,,,,,
SPC1037,SFGL1448S414,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-09-11,,,,,,,,,,,,
